Date,flood runoff
2019-08-03,0.035065282
2019-08-04,0.025958166
2019-08-05,0.03751176
2019-08-06,0.031629812
2019-08-07,0.026599871
2019-08-08,0.027001914
2019-08-09,0.024504641
2019-08-10,0.025972541
2019-08-11,0.018289464
2019-08-12,0.031431153
2019-08-13,0.027256962
2019-08-14,0.024006248
2019-08-15,0.026208395
2019-08-16,0.025480533
2019-08-17,0.028636057
2019-08-18,0.022509675
2019-08-19,0.037031326
2019-08-20,0.034019187
2019-08-21,0.03167721
2019-08-22,0.034506135
2019-08-23,0.034101952
2019-08-24,0.03726498
2019-08-25,0.030825168
2019-08-26,0.044716045
2019-08-27,0.040767506
2019-08-28,0.037202854
2019-08-29,0.038549077
2019-08-30,0.036434386
2019-08-31,0.037696138
2019-09-01,0.029204905
2019-09-02,0.040936995
2019-09-03,0.0347658
2019-09-04,0.028957373
2019-09-05,0.028079258
2019-09-06,0.023796657
2019-09-07,0.02297914
2019-09-08,0.012523591
2019-09-09,0.022425905
2019-09-10,0.014571669
2019-09-11,0.007231378
2019-09-12,0.0049691456
2019-09-13,0.0005609241
2019-09-14,0.0025075844
2019-09-15,0.013998736
2019-09-16,0.005068742
2019-09-17,0.01386653
2019-09-18,0.022158941
2019-09-19,0.025420466
2019-09-20,0.032035187
2019-09-21,0.0351879
2019-09-22,0.048038676
2019-09-23,0.040648535
2019-09-24,0.051185943
2019-09-25,0.06142884
2019-09-26,0.06685316
2019-09-27,0.07583389
2019-09-28,0.08153555
2019-09-29,0.09708657
2019-09-30,0.0925049
2019-10-01,0.10590509
2019-10-02,0.11900099
2019-10-03,0.12719548
2019-10-04,0.13878302
2019-10-05,0.14684191
2019-10-06,0.16441062
2019-10-07,0.16141579
2019-10-08,0.17588161
2019-10-09,0.18943506
2019-10-10,0.19739823
2019-10-11,0.20799322
2019-10-12,0.21423686
2019-10-13,0.22911923
2019-10-14,0.2225336
2019-10-15,0.23248744
2019-10-16,0.240609
2019-10-17,0.2422404
2019-10-18,0.24564305
2019-10-19,0.24389245
2019-10-20,0.25005603
2019-10-21,0.23412229
2019-10-22,0.23421028
2019-10-23,0.23207441
2019-10-24,0.22319518
2019-10-25,0.21598221
2019-10-26,0.20366587
2019-10-27,0.19947223
2019-10-28,0.17354873
2019-10-29,0.16417047
2019-10-30,0.15324156
2019-10-31,0.13638271
2019-11-01,0.12213101
2019-11-02,0.10382879
2019-11-03,0.094796084
2019-11-04,0.0652541
2019-11-05,0.0535298
2019-11-06,0.041556016
2019-11-07,0.02495834
2019-11-08,0.012254696
2019-11-09,0.0032553785
2019-11-10,0.0083174575
2019-11-11,0.03279727
2019-11-12,0.03847426
2019-11-13,0.043539133
2019-11-14,0.052504234
2019-11-15,0.057000957
2019-11-16,0.06388718
2019-11-17,0.060070556
2019-11-18,0.07558002
2019-11-19,0.072355874
2019-11-20,0.06874387
2019-11-21,0.06940233
2019-11-22,0.06609662
2019-11-23,0.065803796
2019-11-24,0.055533715
2019-11-25,0.06539858
2019-11-26,0.057401694
2019-11-27,0.049930602
2019-11-28,0.047663942
2019-11-29,0.042365927
2019-11-30,0.040991824
2019-12-01,0.030510055
2019-12-02,0.04097346
2019-12-03,0.03430996
2019-12-04,0.028818121
2019-12-05,0.029076573
2019-12-06,0.026741339
2019-12-07,0.028654262
2019-12-08,0.021668142
2019-12-09,0.03572096
2019-12-10,0.032629445
2019-12-11,0.030587338
2019-12-12,0.034077257
2019-12-13,0.03467025
2019-12-14,0.03913597
2019-12-15,0.034269262
2019-12-16,0.049965408
2019-12-17,0.04801422
2019-12-18,0.046598453
2019-12-19,0.05020534
2019-12-20,0.05042542
2019-12-21,0.054061614
2019-12-22,0.047954302
2019-12-23,0.06205485
2019-12-24,0.058217682
2019-12-25,0.05469651
2019-12-26,0.056053568
